用户名,时间,评论内容
匿名用户,2024/7/31,三个人一船，带好水盆，水枪，孩子可以玩水，孩子喜欢玩水，打水仗，
毛新平,2024/8/3,车太慢了，排队等车，还没进去呢就晒死了
匿名用户,2024/7/13,漂流很好玩，还可以打水仗，下次继续。
IaU510543769,2024/8/21,水太脏，下次再也不去了，回来还20一人
匿名用户,2024/6/24,挺方便的，进景区就直接可以漂了。景色挺好看的，漂流特别刺激，没有时间拍照了哈哈哈哈哈哈！ 【推荐理由】 好玩 【景色】 好看「豫西大峡谷漂流」
匿名用户,2024/6/22,很好玩，很刺激，一言不合就开始打水仗夏季放松游玩的好去处，来的时候要带好水枪，水盆防水袋，护目镜，做好防晒。￼
芒果宝妈,2024/5/7,整体来说玩的还不错，孩子们很喜欢玩漂流，很享受这个过程。全程惊险刺激，适合夏季热的时候去。
grJ246161764,2024/6/22,很好玩，漂流很刺激，一言不合就打水仗。夏日解暑好去处！ 【景色】 很优美 【交通】 很便利
xDl514735159,2024/6/30,这真的是我会二刷的景点，非常好，值得推荐
匿名用户,2024/6/17,漂流很刺激，特别好玩，景色优美
玛朵又饿惹,2024/6/2,水又脏又臭 进去还要交停车费 漂流完坐车到山上也要钱 哪哪都要钱
yhgtuvftun,2024/3/30,卢氏的一个很经典的景区，风景秀丽，来的时候准备好防水袋，要不没有现金没有手机，就走着回去吧
AOI965325165,2024/5/3,环境不好，脏，床单都没换，主要是没热水，连凉水都很小，早上起来都没有凉水，太糟糕，没热水不能洗澡，极差极差极差，最坑的一次旅游住宿！！！
关你西红柿887,2024/4/4,特别特别好玩，漂流了，大概有两个小时吧。
美食测评官5126,2024/4/4,「豫西大峡谷漂流」 漂流特别刺激，和女朋友一起来的，下次继续，冲
俊逸33,2024/5/19,好玩
三恩儿,2024/5/13,飞龙洞惊险刺激，泼水很好玩
trs556651698,2024/3/24,豫西很刺激，讲解怎么划船时要认真听，对后面玩很有帮助，就是洗澡水太小了。
吃货a二师兄,2023/12/24,不错，很大，环境优美，山清水秀。
gtO126981289,2023/12/8,没啥人玩，风景不错，停车场挺大的
Amiee小可爱啦,2023/8/12,「豫西大峡谷漂流」第二次去这里玩了，门票需要提前三个小时，在美团上预。这次由于刚下过雨，所以湖里面的水比较的黄，而且比第一次来的时候，风景更多了一些，玩的也更刺激了一……￼非常推荐大家来玩哦！
晓隐於野,2023/7/15,"刚开始觉得性价比还不错，但是看了其他地方的漂流，现在感觉豫西大峡谷好像有点贵，观光车20元6分钟，漂流6公里，实际1小时左右，漂流挺好玩的，部分地方还是有点危险 <span class=""feedbackmore"">，护具和淋浴区卫生不太可以，希望能提升一下。 <i class=""text-icon icon-toggle-arrow"">"
Smiler,2023/6/24,"差评！差评！差评！游玩项目设置超级不合理；设置不合理的游玩项目，他们重复收费小交通票。 豫西大峡谷有漂流，有荡秋千，悬索桥等，我们漂流下来买过一次小交通上去；然 <span class=""feedbackmore"">后去外面吃午饭再回大峡谷，准备去玩荡秋千悬索桥等，进入游客中心就没法到达荡秋千的地方了！然后我们开车到快到下游的地方，中途还被杆子挡住，我们只能下来走路去荡秋千的地方！（路途非常之遥远，走路走到想上厕所都找不到一个卫生间）玩完秋千和悬索桥之后，我们只能走到漂流的下游去做小交通，结果还得再买一次小交通票！关键还不是全程，只做1/3！售票员态度极其特别无比恶劣，看也不看我们，我们问1/3程可以少些吗！结果人家超硬气，还目不斜视，说不行，我们这都是20块钱一位，绝对不能少。买一次小交通票，只能做单程，下车即作废。 本来今天漂流玩景点都还很开心，哼，结果因为这个小交通，还有这个可恶的中年大妈售票员，弄的心情超级不好💢💢💢！！！ 差评！差评！差评！！！！！ <i class=""text-icon icon-toggle-arrow"">"
自由,2023/6/24,"差评！差评！差评！游玩项目设置超级不合理；设置不合理的游玩项目，他们重复收费小交通票。 豫西大峡谷有漂流，有荡秋千，悬索桥等，我们漂流下来买过一次小交通上去；然 <span class=""feedbackmore"">后去外面吃午饭再回大峡谷，准备去玩荡秋千悬索桥等，进入游客中心就没法到达荡秋千的地方了！然后我们开车到快到下游的地方，中途还被杆子挡住，我们只能下来走路去荡秋千的地方！玩完秋千和悬索桥之后，我们只能走到漂流的下游去做小交通，结果还得再买一次小交通票！关键还不是全程，只做1/3！售票员态度极其特别无比恶劣，看也不看我们，我们问1/3程可以少些吗！结果人家超硬气，还目不斜视，说不行，我们这都是20块钱一位，绝对不能少。买一次小交通票，只能做单程，下车即作废。 本来今天漂流玩景点都还很开心，哼，结果因为这个小交通，还有这个可恶的中年大妈售票员，弄的心情超级不好💢💢💢！！！ 差评！差评！差评！！！！！一颗星都不想给 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2023/6/24,"差评！差评！差评！游玩项目设置超级不合理；设置不合理的游玩项目，他们重复收费小交通票。 豫西大峡谷有漂流，有荡秋千，悬索桥等，我们漂流下来买过一次小交通上去；然 <span class=""feedbackmore"">后去外面吃午饭再回大峡谷，准备去玩荡秋千悬索桥等，进入游客中心就没法到达荡秋千的地方了！然后我们开车到快到下游的地方，中途还被杆子挡住，我们只能下来走路去荡秋千的地方！玩完秋千和悬索桥之后，我们只能走到漂流的下游去做小交通，结果还得再买一次小交通票！关键还不是全程，只做1/3！售票员态度极其特别无比恶劣，看也不看我们，我们问1/3程可以少些吗！结果人家超硬气，还目不斜视，说不行，我们这都是20块钱一位，绝对不能少。买一次小交通票，只能做单程，下车即作废。 本来今天漂流玩景点都还很开心，哼，结果因为这个小交通，还有这个可恶的中年大妈售票员，弄的心情超级不好💢💢💢！！！ 差评！差评！差评！！！！！ <i class=""text-icon icon-toggle-arrow"">"
hanlifang1224,2023/8/3,漂流过程全程工作人员维护良好，惊险刺激，下次有机会还会去玩，这已经是第二次了！
Bct885525127,2023/8/5,坡度比较陡，一定要抓紧扶手，过洞有一段没有灯光，再加上坡度大，有点吓人
fpV868844689,2023/8/10,"大家不要去，188元漂流不值，容易受伤，把出水口改小，看到有人头撞石头上，距离超短不到半小时就没了，，45元进入看景，我走30分钟到头，对了，漂流和步行坐车回需 <span class=""feedbackmore"">要20元，要不就的原路返回，真不值，里面为了骗大家来，发朋友圈送盗版4个圈冰糕1手机1个 <i class=""text-icon icon-toggle-arrow"">"
Pnk304140014,2023/9/20,漂流确实很刺激，我们是八月中旬去的。在山里还是很凉快的。
健身井教练,2023/7/10,可以可以，社恐来了都会变社牛，记得带盆子，水瓢，水枪真的不好用～还有换洗衣物，去了先让车把包拉到钟点，不要穿拖鞋，洞洞鞋就好。
duZ998321919,2023/7/23,从没见过这么恶心的景区，管理超级差，只能进不能出而且根本没人管插队，排到一半又突然说要分优先进二维码。而且买票还有坑，要提前三个小时购票，还没下水衣服先挤湿了
a小酱呐,2023/8/3,哇 夏天去漂个流，看看风景，太棒了
匿名用户,2023/6/20,漂流真的很好玩很刺激，就是最好晴天去，下雨后水会有点浑，漂流完返回沿路景色也很漂亮🌥推荐推荐👍
匿名用户,2023/7/19,"从进门开始处处有坑，停车费10元，玩完想换衣服还要收物品托运费：一个书包20元，水很脏都是垃圾，玩的过程体验感不错，但是188元的票价不包含其他网红项目仅限漂流 <span class=""feedbackmore"">，感觉票价不值，其他玻璃栈道啥的都要单收费，而且收每人20元返程票。不值！ <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2023/9/5,第一次玩很刺激
Qwu147690042,2023/7/26,真垃圾啊，洗漱的在下码头，私家车不让开下去，做摆渡车每人20，关键是衣服在上码头，衣服还要办托运还要收钱，想钱想疯了，真垃圾，再也不会来了
WTU605727705,2023/8/13,非常刺激，全程2个小时，很好玩， 终点有冲洗馆衣服的地方，建大家购票口直接将换洗衣服托运至终点
Tqr217977873,2023/8/1,价格何方面都不错 挺好玩的 就是水太脏了 太恶心了 玩到后面看到那些垃圾就想吐恶心
OZQ518618312,2023/8/24,线路长，人性化管理，不错！洗浴的地方差了点
VHm768579919,2023/8/24,景区电话压根打不通，人去哪里了？
A那些誓言,2023/7/19,交通便利服务态度很好，价格实惠！清凉刺激！值得游玩
你是哥戒不掉的,2023/6/28,交通很方便，景色宜人，水不是很清澈，水温刚好
ugW665937909,2023/8/19,不是说有优惠么？怎么还是原价？优惠是坑人呢？
Lancelot邢,2023/7/25,过去的时候已经5点了，基本没什么人了，但是漂流完了还是断断续续有人来漂，过程很刺激，人少的话，整个过程也就20多分钟，人多应该有意思。
初恋这件事,2023/8/15,挺好玩的，已经是第二次去了
_qq2ft1432800656,2023/7/28,水太脏了，又臭又脏，豫西大峡谷门票收这么高，环境真差，水速也一般，赶快治理治理吧，差劲
HAG872592955,2023/8/5,漂流很刺激，景色非常好，尤其潭水很神奇
匿名用户,2023/5/25,"漂流在网上买要提前四个小时预约，除非在现场原价买，198一位，不管你多大，看人头算，没有学生票，儿童票，真坑，漂流198/人，陪同的家人进入不漂流需要50/人门 <span class=""feedbackmore"">票。1.5一下免票，去漂流的孩子低于一米五的也不敢让下水漂流啊！不知道什么操作。 【交通】 中午10点左右到的，车位已经没有了，虽然有人安排也是这里一辆那里一辆的。 <i class=""text-icon icon-toggle-arrow"">"
aYZ284706231,2023/7/22,水太浑浊，漂流距离不远，门票太贵有点不值，寄存衣服与交通需要另收费
心如止水5682,2023/7/29,景色不错，就是小交通有点贵
匿名用户,2023/6/24,如果不是漂流就不要来了，景区水流全部改了，百分之100配合漂流项目，带孩子老人买普通门票，几乎接触不到水，沿路唯一的风景就是看别人如何漂流，如何在水里玩儿，和前几年去完全不一样了。 普通门票避坑
空白5449,2023/7/26,垃圾，乱**收费。里面的东西乱收价，服务态度极差。
匿名用户,2023/7/28,好评
wDE155728083,2023/7/17,这是去年的订单，想去漂流今天来看又涨价了，服了贵的要死，本地人还没优惠
匿名用户,2023/6/29,一般般 票价不便宜 时间短 还收停车费
匿名用户,2025/3/31,景区工作人员非常贴心，服务非常到位，很满意
ajy748718380,2023/6/26,挺刺激，玩一次就行了，之后不会再去了
zLw624235316,2023/6/22,美得一批
gYY327944299,2023/6/12,玩着还可以，就是票价有点贵，一个多小时就结束了
PFb983359467,2023/6/8,很棒
mEt508349777,2023/5/31,超好玩，还会再去
张婷0222,2023/3/20,价位比较合理，玩的也很开心，可以再去
王琳bes,2023/3/13,洗完很舒适
IYy949396338,2022/12/1,「豫西大峡谷漂流」一百多的门票🎫非常值得全程漂流一个半小时非常刺激这是我玩过最好玩最刺激的强烈推荐
匿名用户,2022/8/4,"不久前我们全家来这里漂流，由于景区弯道设置不合理，以及景区没有合理的控制水流而导致我的老婆从皮艇中甩出，撞到水泥护栏，并顺水流从河道中流下，并至溺水。 岸边未见 <span class=""feedbackmore"">安全管理人员，也无工作人员下水协助救人，老婆是在其他游客的协助下被救到岸边，之后将近一个多小时的时间里，景区未派出任何工作人员与救援人员进行应急处理、医疗救援措施以及拨打120。直至我的母亲拦住其营运车辆，才有工作人员出面，其景区缺乏最起码的安全措施及人道主义精神。 老婆被诊断为左髌骨粉碎性骨折，左髌骨脱位，左髌骨半月板损伤及身上多处碰撞外伤。我们要求景区先行垫付医药费，景区一再推脱，第一手术次给过5万元之后，在第二次手术前我方联系时，整整一天不接电话，在我们联系当地县政府后才收到其回电，但景区的意思是用老婆做手术的救命钱作为交换条件让我们签一堆条件苛刻的协议，并且在协议之中写到他们给钱之后让我们不得向媒体曝光且不得向有关部门进行投诉。致使我们手术结束之后都未能拿到其垫付的手术费用，现在还差医院的钱。 大家注意票上没有保险，景区处理事故的态度也是非常的消极。我劝大家不要去这样没有安全措施的地方去漂流，这是我老婆血的教训。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2025/5/13,"无漂流不夏天，炎炎夏日放肆漂流才是对夏天的尊重。 我们终于在这周五约着来漂流了 洛阳到豫西大峡谷高速两个多小时，防疫检查很松，我们下高速的时候都没有检查，但 <span class=""feedbackmore"">是下高速路口有可以做核算的地方。 一路上没有什么吃的农家饭做的不咋样，可以到景区里面吃，物价特别值得表扬，物价不贵，老冰棍2块钱烤肠3块钱挺大一个，防晒衣30。 在美团上或者别的地方购票的顾客们一定注意了，一定要提前三个小时订票，不然在门口你差1秒都不让你进去。一定一定提前三个小时订票，好多顾客都是时间不够在外面等着。 漂流全程还是挺刺激的，就是我们1个小时都出来了，感觉太快了还没玩开心，主要是没人泼水都是划一圈都出去了，泼水的地方不多，可以休息的地方也不多这一点不如栾川。 其他都挺不错的，我们穿的长袖长裤，时间也短就没有晒黑。 大家可以被一个包里面有传送物品的可以给你传送到漂流重点然后去洗漱，回来的时候可以不用做大巴看着沿途风景也不热溜达着就回来了，做的话车票20一个人就坐车到停车场哪儿了。 <i class=""text-icon icon-toggle-arrow"">"
BQj541588577,2022/12/21,服务很好，很刺激
匿名用户,2022/12/18,推荐
gDc541801244,2022/7/26,"全程槽点，吃相难看，来过一次，谁要来第二次，就是脑子有坑。进去后看到有小箱子寄存东西的，不理解为啥这样，车离得近，就把换洗的东西放车上了。进去之后，那水简直让我 <span class=""feedbackmore"">惊呆了！我怀疑我是不是来到了黄河，并且船上还特别多蚂蚁，以及各种各样的昆虫，船里的这些东西，让我拿着瓢，清理了半个小时，真的恶心透了。然后说漂流，那个水浅的，蹲屁股你们懂吗？漂下来，脚后跟，屁股都要散架了，并且经常被卡主在中间，可见水有多小！并且这还是连着下了好多天雨。果不其然，出来后，见到有救护车在终点停着，听说是一个女的因为水太浅，在船里坐着嗑住脚了，然后，到终点时候，见到漂流洗浴点，我们都懵逼了，衣服都在车上，这是终点，怎么换洗？这时候才知道开始的寄存，是寄存衣服，人家给你快递下来，一个人是十块还是二十，真是奇葩的设计，就不能在停车场附近？哪怕你票价加10块，大家也方便，真奇葩啊，然后回去，排队坐车，还要一个人20，真特么吃像难看！直接加到票价里面不行？关键是20的车费，还人挤人等了半个小时才坐上，真的是无力吐槽，那感觉，谁去谁知道。总结，坑爹的景区，难看的吃相，奇葩的设计，极差的体验，浑浊的水质，让你体验黄河漂流的快感 <i class=""text-icon icon-toggle-arrow"">"
QYN277448148,2022/11/18,挺好，就是有点胖了。完了水少的地方容易托底
图图,2022/8/21,"总体很好，就是刚开始不会划船，漂了好久，后面掌握技巧上手很快，我去的时候是11.30上午开始漂流，不是周六日但人也很多，园区内打卡项目挺多，但不在票里包含188 <span class=""feedbackmore"">，去了都要单独购买，有点小贵，整体还是推荐去的 <i class=""text-icon icon-toggle-arrow"">"
nWk285258468,2022/9/17,漂流很刺激，孩子们很喜欢，可以边划船边打水仗，相当于过了个泼水节，被泼水和泼别人都是送祝福，大家玩的很开心
二金不二,2022/9/28,好玩刺激爽
匿名用户,2023/11/12,各方面都挺好的， 【环境】让人能沉浸其中 【交通】便利
水墨丹卿,2022/8/3,漂流还不错
北齐胆小的乐乐子,2022/8/4,"我想说的是评论里的差评是真实存在的吗？去之前看了那些差评一直提心吊胆的怕入坑，但是到了以后发现跟差评里面说的完全不一样啊，工作人员非常热情 也没有所谓的二次收费 <span class=""feedbackmore"">，更不需要自己去抢皮艇，全程没有吐槽点，漂流过程也非常的惊险刺激，值得一去！！！ <i class=""text-icon icon-toggle-arrow"">"
HFM861699540,2022/9/9,管理混乱，卫生条件差，头盔不消毒而且比工地民工的头盔还要脏
gjjyixue,2022/9/9,很好玩，但是一定要注意安全，我们的船就被撞翻了，眼镜也坏了，手也受伤了
qmq764624328,2022/7/19,【环境】 【交通】 【项目】 【餐饮】还可以
yyrr哒哒,2022/9/4,挺好的 ，玩的非常的开心，和朋友一起去
违心吗.,2022/9/4,去了好几次了，很刺激
UGw266688651,2022/8/31,人不是很多，水还有点小，漂流的时候硌得慌
UGw266688651,2022/8/31,人不多，水流有点小，漂流过程中硌得慌
UGw266688651,2022/8/31,当时去的时候，人不是很多。水有点小
JYi818692152,2022/8/13,水太脏，景区入口进来的第二家农家乐饭菜真难吃，能把人咸死，而且死贵死贵的，建议外边用完餐再去玩。
rhe587657188,2022/9/1,女子医院了吗，111啊？？1啊你以为呢吗
小美,2022/7/9,水超级脏 漂流188 全程需要用桨划船 累的要死 水特别浅 全程还一直卡船 完全不刺激 三分之二都在划船 回去的大巴还要掏20 等于漂流208 还特别短 体验感极差
JYi818692152,2022/8/13,一起买了10张漂流票，一张观光票，60岁以上老人免票，结果入口把观光票也给我验证了。
summer.,2022/8/21,挺好的挺好的 挺好玩的 每年都去
该用户已实名认证,2022/8/11,来了好几次了，可以的。救生衣头盔有点味，建议及时清洗，来时带好换洗衣服！
小水果儿284,2022/7/6,还行，有好几个峡谷都挺好玩的，就是第一次没经验买了门票结果没有用，就没有必要进景区
匿名用户,2022/6/30,"进去很方便，但是必须在网上购票三小时之后，漂程只有40分钟左右（中间不怎么停留），水质还可以。可以带两套衣服，进园前可以换一下衣服，回来可以做观光车，五分钟就到 <span class=""feedbackmore"">进口了。中间体验还可以，艇可以单人也可以四人。去的话带好玩水工具跟手机防水袋也可以提前准备好。 <i class=""text-icon icon-toggle-arrow"">"
A持不胖,2022/8/2,好玩，全程尖叫。
zYu826729395,2022/8/11,还可以，中间几个地方比较刺激，孩子也可以玩，挺好的！
避坑小助手,2022/7/4,漂流玩着还可以 服务确实像评论里的一样不太好 不过也只是少数 大多数工作人员还是不错的 还有就是水闻起来有点腥 手机记得用防水袋 不喜欢穿湿衣服的记得衣服托运。最后记得做船的前边位置🌝
fXL229427378,2022/8/10,漂流是真的爽，哈哈！
匿名用户,2022/7/11,服务太差，我们卡到一个地方，还是个下坡，皮艇里的水都满了，我们两个女生还带一个小孩，工作人员就在旁边一直看着都没有帮我们，最后还是一个皮艇冲下来撞到我们我们才离开那个地方
MYe816840305,2022/7/11,还好，就是今天去了眼镜最后一个下坡给冲掉了，希望景区可以改善，之前我去别的地方漂流，人家工作人员会给戴眼镜的朋友准备一根红绳系上
BdA797475827,2022/8/8,漂流的好去处！
匿名用户,2022/7/27,景区里漂流挺好的就是下大雨玩了一半外面服务人员凶的很
蜉蝣380,2022/7/3,人很多出现了船叠船的危险情况 导致我 我老公我妈妈三个人全部翻船扣进水里 也没工作人员救治 妈妈手上的黄金手串也滑进水里了 差评差评差评 很不愉快的一次漂流
高小二2222,2022/7/31,不值，还得自己滑，不刺激，时间太快
匿名用户,2022/6/30,从陕西到三门峡只为了漂流 赞赞赞
小漫,2022/7/24,不愉快，188已经很贵了 ，竟然还不去包括停车和返回车票，这不是坑人么
忘川dc,2022/8/1,挺丰富
匿名用户,2022/7/27,超级好玩
晴天了吗,2022/7/3,垃圾垃圾，游客太没素质了，难道是从小到大没玩过水吗，让水缺死了吧，过去就泼水，全泼耳朵里了，都说别泼了，还一个劲的没完了，有病
生活在继续dwq,2022/6/30,设施啥的还是那个样子，但票价越来越贵
小食客Cc,2022/5/28,还不错哦！没玩够☺️
匿名用户,2022/7/21,好玩
匿名用户,2022/7/20,😇
voZ587939489,2022/7/10,太骗人啦！漂流里程太短，重复收费，捆绑消费，无法洗澡，大家不要上当了
李啬森,2022/7/12,一般般 没有尧山好玩，很失望，太短了
SwP931563450,2022/7/15,挺好的，有机会还会去的。强力推荐哦
遗失的美好1825,2022/7/9,「豫西大峡谷漂流」……………… 还可以接受这个价格还是偏高
吴彦沮.,2022/7/9,「豫西大峡谷漂流」还不赖 就是人多下饺子呢
mt5590652,2022/7/4,挺刺激的，不错，孩子和大人都玩的很开心
匿名用户,2022/6/14,景区没有直通的车 门口黑车司机 坐地起价 不会再去第二次
白告66,2022/7/7,不包回去车票不包回去车票不包回去车票
匿名用户,2022/6/25,差评 距离短 不到一个小时就飘完了 一点都不好玩 设施很多东西都不完善
VpA847273226,2022/7/3,船翻了眼镜拖鞋丢了，没有后续。。。
qNZ238983909,2022/7/3,这次漂流很值得去，太好玩太刺激了
骄傲的孤单1988,2022/7/1,很好玩！玩的漂流里最好的一个！
骄傲的孤单1988,2022/7/1,全程惊险刺激！
骄傲的孤单1988,2022/7/1,特别刺激好玩！
匿名用户,2022/6/17,「豫西大峡谷漂流」漂流不错，就是去的不是时候，有点冷
WZk241039871,2022/6/20,好通用86618966她有急用吞没通知我
DUJZ呀,2022/6/8,挺好的 就是水有点不好，臭，玩完以后浑身臭味，我们是去年去玩的
卓—卓2010,2022/6/14,很不错
NtQ956395551,2022/6/11,玻璃栈道牛牛牛
yav979880909,2022/5/10,豫西大峡谷非常好玩儿，主要水道很长，玩的很刺激，暑假准备全家一起再去，还要带上好友去体验
DPL391473429,2022/5/13,很好，就是价格贵了点。回来皮肤都变好了
丸小子911,2022/4/23,从今以后我只能称呼你为您了，因为，你在我心上。
啾咪丶cute,2022/4/24,好玩刺激，还想去
jrW119287648,2021/12/25,"服务极差，管理混乱，幸亏没有出现人员伤亡。没有秩序，正常一个船一个船的出，她们把人员全部放进去，我们进去之后看见好多人在抢船，有吵架的有打起来的。场面极度恶劣混 <span class=""feedbackmore"">乱，还看见有个小男孩都吓哭了，这孩子心里阴影该有多少，哭着喊再也不来了。我们看这情况也直接退票了。当天还有人报警了。老板都不敢出面。真的没那么多船就别卖那么多票，为了那点钱至于吗。不顾游客的安全，太么怕了，大家出游需谨慎，安全第一位，玩都是次要的。这生意做的也是让人无语了。好心情全被破坏了。 <i class=""text-icon icon-toggle-arrow"">"
安心等饭中,2022/2/26,"「豫西大峡谷漂流」好的我真的是太喜欢了很喜欢这个哦真的是太棒了这个真的是太给力了哟真的是太给力了哟真的是太给力了哟我们都喜欢这个 【项目】 【项目】 【项目】 <span class=""feedbackmore"">【项目】 【项目】好好好好好好好好好好好好好好好好好好 【项目】 【项目】 【项目】 【项目】 <i class=""text-icon icon-toggle-arrow"">"
lAS417913237,2022/3/24,一般般，环境脏乱差，秩序混乱，排队时间久
混世磨女,2022/3/3,环境不错，换个环境换个心情
梁梁梁梁梁111,2022/2/26,还不太
lbN727254934,2022/2/20,可以去玩
木头东1,2022/1/11,价格实惠，预订方便。建议购买。购票简单
匿名用户,2022/1/14,很好
俺叫宋宋,2022/1/9,挺好玩的
PMS246002522,2022/1/6,很好 有机会可以 再去 。。。。。。。
ORs781558365,2021/12/19,景区管理有待改进，管理不好，排队秩序不好，人多抢设备，太恐怖
票謀,2021/12/21,景区工作人人员服务真的一言难尽
谢栋粱,2021/12/13,还不错吧。没事可以去玩一玩，可以一试，
匿名用户,2021/11/29,【项目】 【交通】 【环境】「豫西大峡谷漂流」好玩，好玩，好玩！
匿名用户,2021/11/20,「豫西大峡谷漂流」「大淙潭瀑布」「挡箭石崖」「三叠峡谷」「濯足池」
亚梦喔i,2021/11/23,好玩
匿名用户,2021/10/29,虽然景点其他没啥看的，但是抵不住漂流确实好玩啊，这几年夏天都会去玩一次，就是票价有些贵
蜡笔小新呐呐呐呐,2021/9/18,挺刺激的，进景区停车费10元，把换洗的邮寄到漂完的地方每个包裹10元，漂完回去的车每人20元，景区工作人员服务态度好
年轻有为就是我了,2021/11/7,船不够，人多，都是抢的玩到晚上了，冷死了。
sa珍真假假,2021/7/13,"去的时候没问清开漂时间，以为是10点半，其实是11点半开漂，周六日和周一到周五开漂时间好像不一样！可以提前一晚到景区，早上起来去景区转转等着中午开漂，我们是想早 <span class=""feedbackmore"">点漂完早点回去，不着急的话也可以1点多再去漂，在住宿的地方吃完饭再上去，那会应该不用排队，我们是排队等了快一个小时进去的，特别热！景区附近有好多住宿的，不贵条件也一般，毕竟一分价钱一分货！小孩们玩的特别开心，漂完有免费洗澡换衣服的地方还挺好的，就是得掂着湿衣服，越走越沉你们懂得😄漂完就有上山的车，一个人20，直接坐到停车的地方！还有感觉盆和呲水枪都要带上会更好玩😄 <i class=""text-icon icon-toggle-arrow"">"
oBm474345262,2021/10/29,还可以 玩的挺开心 就是去晚了时间有点赶……
fPb76879593,2021/9/24,可以玩一下，场面火爆！！！！！
随风呀w,2021/7/8,"第一次去漂流，本来想去尧山漂流，可是暂停营业，就来到了豫西大峡谷，怀着激动的心，拉着女朋友颤抖的小手，我们自驾游俩小时来到了这里，一个心旷神怡的漂流圣地，，最让 <span class=""feedbackmore"">人难忘的是过山洞，险流加上漆黑真是刺激，让人感觉一点小怕，从开始到结束漂流了一个半小时，累并快乐着，就是我和她滑行船的时候有点吃力，但是我们还是一起合作跑到了终点。 <i class=""text-icon icon-toggle-arrow"">"
